Timestamp,Class Name,Confidence,Center X,Center Y
2024-12-26 14:38:53.720202,person,0.92,595,401
2024-12-26 14:38:58.312418,person,0.95,672,420
2024-12-26 14:39:02.959331,person,0.66,791,418
2024-12-26 14:39:07.191225,person,0.9,692,416
2024-12-26 14:39:09.127219,sports ball,0.33,957,451
2024-12-26 14:39:09.350410,sports ball,0.43,975,434
2024-12-26 14:39:09.353394,frisbee,0.33,968,436
2024-12-26 14:39:10.980796,person,0.35,625,498
2024-12-26 14:39:11.103592,cat,0.67,675,449
2024-12-26 14:39:11.103592,person,0.36,618,482
2024-12-26 14:39:11.105598,person,0.32,182,490
2024-12-26 14:39:11.234991,person,0.44,634,445
2024-12-26 14:39:11.236772,person,0.32,164,470
2024-12-26 14:39:11.238776,cat,0.27,662,413
2024-12-26 14:39:15.909525,person,0.78,177,495
2024-12-26 14:39:15.911535,person,0.48,723,414
2024-12-26 14:39:17.318657,cell phone,0.3,524,433
2024-12-26 14:39:17.424808,remote,0.44,527,424
2024-12-26 14:39:17.531956,remote,0.41,528,423
2024-12-26 14:39:17.531956,cell phone,0.31,528,423
2024-12-26 14:39:17.635473,cell phone,0.33,529,422
2024-12-26 14:39:17.638282,remote,0.32,528,422
2024-12-26 14:39:17.743240,remote,0.42,528,422
2024-12-26 14:39:17.949683,cell phone,0.44,527,424
2024-12-26 14:39:18.158290,cell phone,0.32,528,423
2024-12-26 14:39:18.258274,cell phone,0.26,528,422
2024-12-26 14:39:18.365721,cell phone,0.34,526,421
2024-12-26 14:39:18.466703,cell phone,0.29,525,421
2024-12-26 14:39:18.771728,remote,0.33,525,417
2024-12-26 14:39:18.773732,cell phone,0.3,525,416
2024-12-26 14:39:19.080225,remote,0.38,524,414
2024-12-26 14:39:19.080225,cell phone,0.27,524,414
2024-12-26 14:39:19.185485,cell phone,0.3,524,412
2024-12-26 14:39:19.386873,cell phone,0.38,524,410
2024-12-26 14:39:19.593018,cell phone,0.28,522,412
2024-12-26 14:39:19.694032,cell phone,0.29,523,408
2024-12-26 14:39:19.796572,cell phone,0.29,523,409
2024-12-26 14:39:19.900998,cell phone,0.39,523,408
2024-12-26 14:39:20.004904,cell phone,0.32,523,407
2024-12-26 14:39:20.004904,remote,0.27,523,408
2024-12-26 14:39:20.417580,cell phone,0.49,524,408
2024-12-26 14:39:20.518728,cell phone,0.34,525,408
2024-12-26 14:39:20.520733,remote,0.31,525,409
2024-12-26 14:39:20.625921,cell phone,0.29,524,409
2024-12-26 14:39:20.825117,cell phone,0.3,524,405
2024-12-26 14:39:20.928642,cell phone,0.28,525,406
2024-12-26 14:39:21.131310,remote,0.36,523,406
2024-12-26 14:39:21.133314,cell phone,0.33,524,405
2024-12-26 14:39:21.337606,cell phone,0.55,523,404
2024-12-26 14:39:21.438955,cell phone,0.29,522,403
2024-12-26 14:39:21.543880,cell phone,0.31,523,403
2024-12-26 14:39:21.671347,cell phone,0.32,523,405
2024-12-26 14:39:21.796405,cell phone,0.3,523,403
2024-12-26 14:39:21.921632,remote,0.3,524,403
2024-12-26 14:39:26.446807,person,0.81,254,499
2024-12-26 14:39:30.998103,person,0.91,663,400
Timestamp,Class Name,Confidence,Center X,Center Y
2024-12-26 14:43:13.791082,person,0.92,624,414
2024-12-26 14:43:33.243876,person,0.83,609,408
2024-12-26 14:43:35.663051,cell phone,0.5,499,459
2024-12-26 14:43:35.766366,cell phone,0.7,512,419
2024-12-26 14:43:35.875462,person,0.42,603,484
2024-12-26 14:43:36.639434,person,0.29,652,473
2024-12-26 14:43:37.701684,cell phone,0.57,484,487
2024-12-26 14:43:37.811853,cell phone,0.71,529,473
2024-12-26 14:43:38.009406,cell phone,0.67,489,472
2024-12-26 14:43:38.119206,cell phone,0.85,538,466
2024-12-26 14:43:38.250310,person,0.53,555,439
2024-12-26 14:43:38.254631,cell phone,0.43,526,457
2024-12-26 14:43:38.363007,cell phone,0.87,501,445
2024-12-26 14:43:38.472861,cell phone,0.86,497,434
2024-12-26 14:43:38.583600,cell phone,0.84,496,433
2024-12-26 14:43:38.691874,cell phone,0.73,493,433
2024-12-26 14:43:38.874495,cell phone,0.78,495,434
2024-12-26 14:43:38.983786,cell phone,0.77,499,435
2024-12-26 14:43:39.093952,cell phone,0.89,492,431
2024-12-26 14:43:39.208006,cell phone,0.84,473,421
2024-12-26 14:43:39.372698,cell phone,0.87,474,414
2024-12-26 14:43:39.485777,cell phone,0.31,464,417
2024-12-26 14:43:39.584322,cell phone,0.54,484,415
2024-12-26 14:43:39.699138,cell phone,0.89,488,424
2024-12-26 14:43:39.907338,cell phone,0.72,491,429
2024-12-26 14:43:40.026577,cell phone,0.36,478,427
2024-12-26 14:43:40.027772,tvmonitor,0.26,467,427
2024-12-26 14:43:40.138999,cell phone,0.61,479,428
2024-12-26 14:43:40.288984,cell phone,0.45,472,428
2024-12-26 14:43:40.322605,cat,0.33,438,404
2024-12-26 14:43:40.460782,cell phone,0.81,466,407
2024-12-26 14:43:40.939299,cell phone,0.53,440,400
2024-12-26 14:43:41.072757,cell phone,0.45,447,402
2024-12-26 14:43:41.509758,cell phone,0.46,460,404
2024-12-26 14:43:41.640567,cell phone,0.44,463,405
2024-12-26 14:43:41.825516,tvmonitor,0.38,442,406
2024-12-26 14:43:41.830644,cell phone,0.32,454,404
2024-12-26 14:43:41.962661,cell phone,0.41,434,410
2024-12-26 14:43:41.963889,book,0.27,472,412
2024-12-26 14:43:42.092842,cat,0.5,430,423
2024-12-26 14:43:42.094119,cell phone,0.47,402,416
2024-12-26 14:43:42.221486,cell phone,0.88,491,431
2024-12-26 14:43:42.223490,book,0.26,502,433
2024-12-26 14:43:46.691024,person,0.82,130,472
2024-12-26 14:43:46.698845,cell phone,0.79,478,409
2024-12-26 14:43:50.651818,cell phone,0.35,452,496
2024-12-26 14:43:50.762017,cell phone,0.82,440,447
2024-12-26 14:43:50.860603,cell phone,0.81,435,433
2024-12-26 14:43:50.966650,cell phone,0.85,446,468
2024-12-26 14:43:51.072383,cell phone,0.55,447,485
2024-12-26 14:43:57.457719,cell phone,0.29,512,442
2024-12-26 14:43:58.090253,tvmonitor,0.33,441,492
2024-12-26 14:43:58.320673,cell phone,0.63,455,416
2024-12-26 14:43:58.596798,cell phone,0.71,408,402
Timestamp,Class Name,Confidence,Center X,Center Y
Timestamp,Class Name,Confidence,Center X,Center Y
Timestamp,Class Name,Confidence,Center X,Center Y
Timestamp,Class Name,Confidence,Center X,Center Y
2024-12-26 14:58:34.314027,person,0.95,666,426
2024-12-26 14:58:39.018515,person,0.95,666,425
2024-12-26 14:58:43.416564,person,0.81,733,420
2024-12-26 14:58:43.421565,cell phone,0.32,772,454
2024-12-26 14:58:43.423843,cell phone,0.29,631,487
2024-12-26 14:58:47.757464,person,0.88,770,443
2024-12-26 14:58:52.156126,person,0.92,733,425
Timestamp,Class Name,Confidence,Center X,Center Y
2024-12-26 15:37:11.804018,person,0.95,167,458
2024-12-26 15:37:16.120661,person,0.93,516,426
2024-12-26 15:37:20.864803,person,0.75,308,463
2024-12-26 15:37:25.088303,person,0.9,168,460
2024-12-26 15:37:29.344084,person,0.81,514,427
2024-12-26 15:37:33.814790,person,0.91,164,457
2024-12-26 15:37:38.117323,person,0.83,535,439
2024-12-26 15:37:42.727083,person,0.86,532,401
Timestamp,Class Name,Confidence,Center X,Center Y
2024-12-27 13:34:48.348708,person,0.89,827,421
Timestamp,Class Name,Confidence,Center X,Center Y
Timestamp,Class Name,Confidence,Center X,Center Y
2024-12-27 13:46:57.923703,person,0.91,768,403
2024-12-27 13:47:02.496364,person,0.91,769,406
2024-12-27 13:47:08.662185,person,0.89,740,400
2024-12-27 13:47:13.109337,person,0.93,793,484
